"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","alternative","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction"
"1",2,9,839,1,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1064,26,4,901,476,123,8,10,2,1,8,3,1,0,3,101,2,1,98,0
"2",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1008,25,5,858,452,113,8,11,3,0,9,4,0,1,3,87,2,1,84,1
"3",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1226,25,4,1072,642,113,14,13,3,0,8,4,0,0,3,86,2,1,83,1
"4",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",947,23,5,810,427,104,8,11,3,0,8,4,0,0,3,77,3,1,73,1
"5",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",968,25,5,829,444,104,8,11,2,1,8,3,0,1,3,78,2,1,75,1
"6",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",979,24,5,840,452,108,8,10,3,0,8,4,0,0,3,79,2,1,76,1
"7",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1300,24,5,1162,777,104,8,11,2,1,8,3,1,0,3,78,2,1,75,1
"8",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",908,23,5,779,407,113,7,11,3,0,9,4,0,1,2,70,4,1,65,0
"9",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",910,24,5,782,413,112,8,11,3,0,8,4,0,0,3,69,5,1,63,0
"10",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",927,23,5,798,426,115,8,11,3,0,9,4,0,1,2,69,4,2,63,0
"11",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",937,23,4,810,445,107,8,11,2,1,8,3,1,0,3,68,5,1,62,1
"12",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",946,23,5,817,443,115,8,12,2,1,8,3,0,1,3,68,4,2,62,1
"13",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1121,23,5,989,598,111,8,16,2,1,8,3,1,0,3,67,5,2,60,1
"14",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1159,23,4,1019,646,106,9,25,2,1,8,3,1,0,3,67,5,2,60,1
"15",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1099,19,4,969,598,106,12,22,2,1,8,3,1,0,3,61,6,1,54,1
"16",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1126,22,5,1008,664,107,8,12,2,1,8,3,1,0,3,59,6,1,52,0
"17",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",835,22,5,730,408,104,8,14,3,0,9,4,0,1,3,44,2,1,41,0
"18",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",868,22,4,763,439,103,8,14,2,1,8,4,0,0,3,45,3,1,41,1
"19",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",818,22,5,713,395,101,8,14,3,0,9,4,0,1,3,43,2,1,40,1
"20",7,14,2154,6,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1773,31,4,1534,831,216,8,15,3,1,8,3,1,0,3,168,2,1,164,0
"21",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,992,10,10,"false",818,21,5,722,418,98,8,14,3,0,9,4,1,0,3,35,2,2,31,1
"22",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,996,10,10,"false",800,20,5,705,408,96,7,15,2,1,8,4,0,1,2,36,3,1,32,1
"23",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,996,10,10,"false",1411,20,5,1316,1019,96,8,15,2,1,8,4,0,0,3,35,2,2,31,1
"24",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",1025,20,5,909,595,95,8,32,3,0,9,4,0,1,3,38,2,1,35,0
"25",8,13,1899,7,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1629,30,4,1407,728,214,9,14,4,0,9,4,1,0,3,151,3,1,147,1
"26",8,13,1899,7,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1679,30,4,1455,776,214,9,15,3,1,9,4,0,1,3,152,2,1,149,1
"27",9,2,90,8,0,0,0,0,0,0,0,0,0,10,1000,980,10,10,"false",779,19,5,695,419,91,8,15,2,0,9,5,0,0,3,25,3,1,21,1
"28",9,2,90,8,0,0,0,0,0,0,0,0,0,10,1000,988,10,10,"false",1005,19,5,921,646,90,8,15,2,0,9,4,1,0,3,25,2,2,21,1
"29",9,12,1660,8,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1573,30,4,1368,704,207,9,14,4,0,9,5,0,0,3,134,2,1,131,0
"30",9,12,1660,8,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1691,29,4,1486,818,208,9,15,3,1,9,4,0,1,3,133,2,2,129,1
"31",9,12,1660,8,0,0,0,0,0,0,0,1,1,20,1000,1000,10,10,"false",1681,30,4,1468,802,209,9,15,3,0,9,4,1,0,3,141,3,1,137,1
"32",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1532,27,4,1342,710,200,8,14,4,0,10,5,0,0,2,120,2,1,117,0
"33",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1577,27,4,1384,738,203,9,15,3,1,9,4,1,0,3,123,3,1,119,1
"34",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1581,28,4,1390,746,202,9,15,3,1,9,4,1,0,3,121,3,1,117,1
"35",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1595,27,5,1400,756,201,9,15,4,0,10,5,0,1,3,123,2,1,120,1
"36",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1613,28,4,1422,777,203,9,15,3,1,9,4,1,0,3,122,2,2,117,0
"37",11,10,1230,10,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1478,27,4,1305,690,193,9,15,3,1,9,5,0,0,3,103,2,1,100,1
"38",11,10,1230,10,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1510,27,4,1338,725,199,8,15,4,0,10,5,0,1,3,103,2,2,99,1
"39",12,9,1039,11,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1440,27,4,1277,684,188,9,15,4,1,9,5,0,0,3,93,3,1,89,1
"40",12,9,1039,11,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1480,26,4,1319,729,190,8,16,4,0,10,5,1,0,3,92,3,1,88,0
